@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
0.977,4.0,3.0,0,3.08177,550.0,0.67451,0.25991,3.267591213,-0.141298762,2,56.44,2642.5,0,yes
1.893,15.0,15.0,0,22.61775,230.0,0.000001,0.000001,3.628035051,-0.2699351402,17,57.78,5688.666666666667,2,yes
2.634,51.0,23.0,1,5.79825,326.0,0.23446,0.75221,0.592220329,0.6080698912,21,46.87,54813.61538461538,8,yes
1.628,3.0,12.0,0,19.14702,221.0,0.35172,0.09375,4.182532709,-0.2735762528,14,55.28,58537.818181818184,3,yes
1.889,27.0,19.0,0,6.71792,292.0,0.3666,0.85936,1.262672359,-0.9092902751,17,52.45,19698.81818181818,6,yes
7.714,72.0,56.0,0,19.17687,197.0,0.60251,0.39112,4.671286403,-3.5308995326,9,46.82,81073.0,6,yes
0.959,56.0,24.0,1,12.07036,221.0,0.000001,0.000001,-3.646995627,0.3416890605,3,58.16,5327.5,1,yes
0.343,0.0,0.0,1,0.000001,0.000001,0.000001,0.000001,0.000001,-0.0751598784,5,64.81,1385.6,0,yes
0.507,14.0,6.0,0,3.13097,427.0,0.07673,0.3844,0.000001,0.3050845594,2,42.37,7857.0,1,yes
1.583,11.0,11.0,0,1.71676,533.0,0.16989,0.62965,1.376800843,-0.4701716901,3,36.87,22159.0,2,yes
1.004,21.0,12.0,0,0.44259,929.0,0.2285,0.56135,-0.757426157,-0.179930907,1,43.7,1438.0,0,yes
3.978,53.0,38.0,0,2.87293,822.0,0.58236,0.67981,1.586974542,0.0991786778,10,37.04,144324.33333333334,7,yes
0.328,1.0,3.0,0,2.5401,319.0,0.36614,0.98836,0.000001,0.0791650515,4,43.01,2644.0,0,yes
3.016,57.0,47.0,0,8.6609,197.0,0.5483,0.28861,1.572838106,-0.628385276,4,57.33,31751.0,3,yes
4.535,47.0,30.0,0,1.19685,955.0,0.52171,0.0958,1.414329318,-2.1221335145,11,36.29,198925.0,8,yes
2.384,55.0,33.0,0,7.29282,416.0,0.07401,0.12978,-0.630960715,-0.3435753888,5,59.32,39435.5,3,yes
9.764,112.0,82.0,0,0.000001,0.000001,0.000001,0.000001,3.626247256,0.000001,13,45.52,91067.5,11,yes
5.104,48.0,53.0,1,17.02441,200.0,0.75008,0.70645,4.869620284,-1.5414971025,29,50.43,40846.11111111111,20,yes
1.314,32.0,12.0,1,7.59371,229.0,0.10867,0.25685,-1.168792409,-0.2442495952,3,50.82,13727.0,1,yes
0.767,15.0,8.0,0,0.68687,786.0,0.77683,0.45536,-0.934964655,0.4171350401,1,38.63,6321.0,0,yes
1.613,37.0,8.0,1,5.08316,436.0,0.08365,0.23013,0.824754662,3.6682327079,3,43.62,12289.0,2,yes
2.082,27.0,11.0,0,2.47066,854.0,0.07595,0.38344,1.522118253,0.020302773,18,40.84,78491.57142857142,4,yes
1.439,9.0,7.0,1,2.20312,429.0,0.81383,0.41336,2.172924523,-0.1835708609,4,44.96,16521.333333333332,1,yes
1.321,17.0,24.0,1,4.0777,461.0,0.1105,0.44945,2.26211929,-0.178111357,11,50.02,10380.0,2,yes
1.396,14.0,20.0,0,22.85841,209.0,0.26812,0.30371,2.295242572,-0.6613161587,5,48.33,19709.0,4,yes
2.782,12.0,18.0,1,0.000001,0.000001,0.000001,0.000001,3.434060734,0.000001,48,37.78,227001.95348837212,5,yes
1.017,29.0,15.0,0,5.96622,629.0,0.03809,0.16044,0.013340818,0.000001,1,51.04,5606.5,0,yes
5.506,89.0,35.0,0,2.76625,707.0,0.000001,0.000001,0.343458822,-1.8228303364,4,39.39,103634.75,0,yes
2.256,36.0,14.0,0,5.97206,812.0,0.0611,0.12135,-1.051588171,-0.1726543151,3,41.52,13365.333333333334,0,yes
1.286,9.0,9.0,0,10.42327,196.0,0.99682,0.17821,2.098355658,-0.0053819721,20,37.72,14369.57142857143,6,yes
3.447,48.0,39.0,0,8.39076,558.0,0.000001,0.000001,2.769996716,0.2516824375,9,58.18,8045.571428571428,2,yes
3.487,56.0,23.0,0,1.13961,622.0,0.000001,0.000001,-0.060375817,-0.1451527877,10,38.52,223727.4,5,yes
1.247,16.0,9.0,0,2.9839,408.0,0.16974,0.80184,1.20256693,0.4189530425,1,51.18,2041.0,0,yes
1.439,10.0,8.0,0,2.72214,502.0,0.000001,0.000001,3.399616309,0.000001,1,57.45,2862.0,0,yes
1.681,8.0,10.0,0,2.85984,442.0,0.2543,0.15588,3.119325948,-0.3838075643,3,35.71,131885.0,2,yes
1.319,13.0,7.0,0,5.98947,563.0,0.11501,0.13748,0.000001,0.000001,10,46.78,7542.0,3,yes
0.924,5.0,6.0,0,10.20192,169.0,0.44533,0.19268,3.251983615,0.000001,2,54.62,6593.5,0,yes
0.96,10.0,13.0,0,7.25156,226.0,0.62778,0.27322,3.053001953,-0.1394785526,6,59.4,4702.0,1,yes
1.184,11.0,14.0,0,0.64585,758.0,0.98807,0.6346,2.767438082,-0.3378940345,10,49.37,17437.75,2,yes
2.956,16.0,18.0,0,2.79624,792.0,0.70026,0.30945,3.157890734,-0.9349773582,17,36.42,36793.307692307695,4,yes
1.351,15.0,15.0,0,21.71952,164.0,0.16904,0.11983,1.778280302,-0.047654689,4,57.33,5172.666666666667,1,yes
2.272,23.0,19.0,0,0.32369,548.0,0.93228,0.1905,1.960259251,-0.732911333,4,47.27,13623.5,2,yes
3.754,27.0,5.0,0,0.000001,0.000001,0.000001,0.000001,0.000001,1.0196821014,4,43.93,195073.0,3,yes
1.597,21.0,19.0,1,0.8884,794.0,0.82455,0.2093,0.996553691,-0.5547175049,5,45.85,49368.75,1,yes
1.678,26.0,16.0,0,3.12575,408.0,0.86743,0.14618,1.019698923,-0.5767641553,7,52.81,28962.666666666668,4,yes
1.836,12.0,22.0,1,7.28313,211.0,0.000001,0.000001,2.952956671,0.000001,5,57.77,20121.666666666668,2,yes
4.983,49.0,32.0,1,5.29911,984.0,0.11236,0.15685,2.980435196,-1.9677399918,6,35.98,90717.5,0,yes
2.077,23.0,23.0,0,1.48079,842.0,0.20984,0.2522,2.955501478,0.7844446054,10,48.47,37761.2,0,yes
2.29,15.0,8.0,0,4.59373,411.0,0.17165,0.35025,2.646500631,-0.291981272,8,37.87,21584.0,4,yes
2.551,31.0,14.0,0,4.69154,395.0,0.9807,0.2062,0.680495688,-0.5749455673,3,40.28,36801.0,2,yes
0.884,4.0,1.0,0,6.80734,411.0,0.000001,0.000001,1.499859313,0.000001,2,50.86,2867.5,0,yes
2.355,19.0,17.0,0,3.07288,308.0,0.40663,0.24974,2.490995005,-0.9790726815,30,38.21,57241.27272727273,19,yes
1.15,5.0,6.0,0,0.7037,416.0,0.35916,0.20256,3.009839092,0.000001,1,55.31,3944.0,0,yes
1.475,3.0,9.0,0,0.5298,1173.0,0.4039,0.69601,3.832446465,-0.2515300117,2,50.67,3202.5,0,yes
1.113,24.0,8.0,0,18.99637,200.0,0.71587,0.24185,-0.81810332,-0.0017432382,2,64.43,2924.0,1,yes
2.305,26.0,16.0,0,5.04898,433.0,0.32729,0.09418,1.569758205,-0.7108643211,9,38.71,39353.0,8,yes
