Gene,ISPP_AD,ISPP_AR,ISPP_XL,ISPP_PAE,HI,REC,CONS,RVIS,NET,GDI
PPAPDC1A,0.0,0.006442037086539738,*,0.0,0.18611,0.10773,1.289915139,-0.2497093186,0.251338043153308,25.34899
ACACB,0.022828409729627346,0.08101013759583364,*,0.10758584879101353,0.16354,0.41174,1.198585527,-1.974635129,0.421754893013774,3979.35991
SULT6B1,0.0,0.0125206126265115,*,0.0,0.08766,0.08838,-0.235472372,2.0174272592,0.0182501262820031,2968.40598
ZSCAN4,0.015930709945759527,0.0,*,0.0,0.05195,0.07156,-0.133044263,-0.3140274219,0.000168787787405631,73.20713
ZSCAN1,0.0,0.006269193517846458,*,0.03623008513139009,0.000001,0.000001,0.278501115,0.0221221066,0.412964069053258,23.78059
ZSCAN2,0.02516522714280219,0.04661433126889302,*,0.018989946646445318,0.69585,0.10033,-1.534934237,-1.1922912542,0.242494792845744,38.66981
GGN,0.03129379406142596,0.031212088704255382,*,0.00860029199580363,0.05529,0.11413,2.350785876,0.000001,0.0208000188126793,2472.2856
GH2,0.0,0.0,*,0.0063234064362918015,0.000001,0.000001,-0.164842324,0.707379532,0.200047480176586,51.66822
GNGT1,0.02014520271230739,0.0,*,0.019043245902682478,0.74854,0.17821,0.000001,0.1912161639,0.800905186959344,3.21371
GH1,0.0435605549668972,0.07759205297431639,*,0.7183529925493005,0.10625,0.2513,-0.23606146,0.3087212333,0.957518728732916,112.31173
GNGT2,0.03826207594264784,0.006333535555421169,*,0.006348426735361765,0.18249,0.12971,0.000001,0.5016893261,0.731196952393116,165.03072
PARP9,0.00633698290386734,0.006436385711691421,*,0.012728518028237044,0.06342,0.08152,-0.482987953,-0.3949364374,0.438262619741865,529.88765
PARP8,0.04803809716385274,0.02039834219752179,*,0.04272011544717171,0.000001,0.000001,2.079064623,-0.9111093532,0.250889427931376,112.79172
POP1,0.026022855928641488,0.03201179416684484,*,0.040225668597564664,0.10212,0.08921,-0.455723466,-1.2327711181,0.849576648267505,1547.92913
PARP6,0.0,0.03130946056205551,*,0.0064130657693520915,0.19132,0.07832,2.467759208,-0.5142644846,0.00640137174382785,22.30333
PARP3,0.0,0.05121655500647563,*,0.009577971183590118,0.03236,0.08533,-0.338808897,0.8028458566,0.123880487624439,495.98891
CT45A2,0.0,0.0,0.0,0.0,0.000001,0.000001,0.000001,0.000001,0.114371359811310,*
PARP4,0.012373249478494866,0.02447547442729034,*,0.020690273321914567,0.000001,0.000001,0.257906289,4.627272075,0.399608365391832,3089.60625
POP4,0.010606168442874033,0.07461325475107251,*,0.00635936996035498,0.25519,0.1249,0.036484986,-0.0274281004,0.889488506583731,108.29586
CT45A1,0.0,0.0,0.0,0.0,0.000001,0.000001,0.000001,0.000001,0.000113018436023977,0.14568
POP5,0.018724040585551306,0.015980311746525346,*,0.018858950761583292,0.10882,0.14229,0.751777252,-0.1633450269,0.785878678938072,51.42928
PARP1,0.10579773263601627,0.025255276247421285,*,0.06530338274083808,0.90777,0.66498,1.555003025,-0.9681739917,0.620999916282241,3117.80668
ACAD11,0.0,0.034521656053942494,*,0.0063087365634565155,0.000001,0.000001,0.496562056,0.6044243432,0.114371359811310,772.2298
CT45A4,0.0,0.0,0.0,0.0,0.000001,0.000001,0.000001,0.000001,0.114371359811310,*
ACAD10,0.02552985047124173,0.2785335884383048,*,0.08204683580758816,0.0215,0.49463,-1.334948755,-0.5383787527,0.339224051068704,958.90541
PARP2,0.0,0.052434529099066964,0.0,0.0,0.09059,0.12032,-0.26114181,-0.0678812493,0.952496025982611,419.3216
CT45A3,0.0,0.0,0.012502032653428193,0.0,0.000001,0.000001,0.000001,0.000001,9.03581509459257e-05,*
SPATA6L,0.018737258424433332,0.019328074691262794,*,0.01258537320057185,0.000001,0.000001,-2.589897509,1.2217562877,0.114371359811310,1763.48282
POP7,0.006274296092598864,0.026595428071866222,*,0.01289507479336088,0.0887,0.14499,1.508803125,0.1471231123,0.993615749065587,16.44643
CT45A6,0.0,0.0,0.0,0.006319851585773596,0.000001,0.000001,0.000001,0.000001,0.114371359811310,0.42793
CT45A5,0.0,0.0,0.0,0.0,0.000001,0.000001,0.000001,0.000001,0.000148827188095730,10.48463
BCKDK,0.0,0.6188664841701009,*,0.593528332273052,0.19254,0.12253,1.755997857,-0.5363109395,0.928693364312397,34.68489
GFAP,0.7942962155093141,0.11118974051072668,*,0.13654619290760278,0.61775,0.95538,0.795847837,0.622829232,0.526632665646881,423.1212
PCED1A,0.0,0.03725021867770715,*,0.0,0.25747,0.10588,0.000001,0.064394823,*,164.8719
PCED1B,0.018972701555004357,0.023035964281751076,*,0.01893905763752145,0.09515,0.09636,0.000001,-0.5363109395,*,8.44364
MGRN1,0.0,0.06901987034218347,*,0.0,0.49083,0.14252,0.663493873,-1.7710596515,0.94695018044531,320.50189
ANP32A,0.02828073213100048,0.006263338522632478,*,0.022045243993849488,0.54777,0.25991,2.131808707,-0.0751598784,0.798992896596218,4.49266
AMY2B,0.0,0.1149499842619255,*,0.14466888470913208,0.12126,0.38738,-0.869355502,0.1103061324,0.273209486627692,318.05085
